Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC K1),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z6),norm(Weighted SC Z5),norm(Weighted SC Z7),norm(Weighted SC K2),norm(Weighted SC K3),norm(Weighted SC K4),norm(Weighted SC K5)
MYH14_HUMAN,5.288336323031221,5.643786340395151,3.2055033139153775,8.383632762000524,10.60910058375945,4.818602760008577,4.245838200090924,9.279699260073533,1.967181821054643,4.147568816075234,1.8412445951501653,7.310246417739727
TPM4_HUMAN,3.345856235750947,5.954963594118295,14.554858534710055,3.4051447935557,-2.860540148052073,3.220576365164522,7.5765247693047915,2.190932208376756,10.589712996668046,6.095352405438332,3.7174702454606816,2.242354819991924
SODC_HUMAN,32.79759554696921,11.33514490667933,13.060441344158297,8.856884104773961,2.4280302560006612,1.8371212078845538,4.15530303621153,4.807476931887498,6.876646895593828,2.493247741589455,8.186923580269031,2.1651844479826465
1433T_HUMAN,2.96988682580832,4.995891004244028,6.111951201336032,4.8107029028391475,20.06568551417937,3.4978671862399615,4.402195011614362,10.37053101666533,6.732774634546464,7.544757598767189,4.336124496559314,1.9236213662413135
TAGL2_HUMAN,15.797595546969209,23.33514490667933,20.060441344158296,24.85688410477396,24.42803025600066,24.837121207884554,36.15530303621153,23.807476931887496,32.87664689559383,12.493247741589455,37.18692358026903,20.165184447982647
PSME1_HUMAN,0.7975955469692089,4.33514490667933,6.060441344158297,3.856884104773962,13.42803025600066,5.837121207884554,2.1553030362115297,1.8074769318874981,4.876646895593828,5.493247741589455,3.186923580269031,4.1651844479826465
HMGB2_HUMAN,14.218648479708467,10.33514490667933,13.060441344158297,13.856884104773961,15.42803025600066,8.644138534239534,16.155303036211528,9.807476931887498,16.911734481043045,7.493247741589455,9.186923580269031,10.165184447982647
K1C9_HUMAN,4.797595546969209,16.33514490667933,8.060441344158297,16.85688410477396,-5.571969743999339,1.8371212078845538,0.15530303621152974,-0.19252306811250186,-0.12335310440617242,5.493247741589455,1.1869235802690312,9.165184447982647
TPM2_HUMAN,2.371521280535493,3.953267961183725,9.218757002727633,2.430809838340246,-4.514910455974436,2.6916081501758136,6.108928715227643,0.6619638741787579,4.170011420435136,5.482783073315529,3.132261114219837,1.4481425978926197
LMNA_HUMAN,4.797595546969209,3.3351449066793304,1.0604413441582974,1.856884104773962,-5.571969743999339,2.837121207884554,6.15530303621153,5.807476931887498,3.8766468955938276,2.493247741589455,6.186923580269031,19.301666686752178
HNRPD_HUMAN,36.717593715914525,35.306054025331676,27.024077742473725,31.78415690140482,36.33348679896941,34.80075951354862,31.097121273516215,29.749295169192184,30.8111924125616,18.493247741589453,19.143287258247547,32.07791180393968
TALDO_HUMAN,18.79759554696921,15.335144906679329,22.060441344158296,24.85688410477396,23.42803025600066,22.837121207884554,18.155303036211528,21.807476931887496,18.876646895593826,11.493247741589455,19.18692358026903,19.165184447982647
ACTBL_HUMAN,3.5882530672633983,3.2053870255147796,7.612344115154391,2.4485796518778438,0.4522516762887472,7.4686090542590655,2.548036610125104,2.0358506978329327,3.707096953577226,4.7268118800019305,4.136750536064319,3.47314305088792
PERM_HUMAN,-0.20240445303079113,16.33514490667933,1.0604413441582974,-0.14311589522603807,-5.571969743999339,1.8371212078845538,0.15530303621152974,-0.19252306811250186,-0.12335310440617242,22.493247741589453,1.1869235802690312,7.1651844479826465
PTPRC_HUMAN,14.797595546969209,17.33514490667933,11.060441344158297,18.85688410477396,12.42803025600066,5.837121207884554,12.15530303621153,19.807476931887496,16.876646895593826,10.493247741589455,13.186923580269031,18.165184447982647
GDIR2_HUMAN,13.797595546969209,13.33514490667933,20.060441344158296,9.856884104773961,32.42803025600066,31.837121207884554,20.155303036211528,20.807476931887496,25.876646895593826,28.493247741589453,26.18692358026903,23.165184447982647
TPM1_HUMAN,5.03875307870749,10.2258204514181,10.111888258831149,9.098041636512242,11.128994229999684,6.727796275786165,13.969805752275983,4.6981519997891095,13.46828641433162,13.924115890393166,13.968273716072254,10.297016570785381
HNRPC_HUMAN,38.79759554696921,22.33514490667933,26.060441344158296,19.85688410477396,40.42803025600066,17.837121207884554,38.15530303621153,21.807476931887496,29.876646895593826,18.493247741589453,24.18692358026903,30.165184447982647
UBA1_HUMAN,4.797595546969209,3.3351449066793304,1.0604413441582974,3.856884104773962,4.428030256000661,3.837121207884554,2.1553030362115297,7.807476931887498,0.8766468955938276,2.493247741589455,1.1869235802690312,2.1651844479826465
